rank,process,bottleneck_score,schedulability,recommended_action,judgement_reason,physical_recommendation,scheduling_recommendation,semantic_meaning
1,A3,4.9992746848902545,Scheduling Feasible,PRIORITIZE_DISCHARGE,후단 반출/저장 흐름의 대기 비중이 커서 AMR/모바일 이송 및 배출 우선순위 조정 여지가 큼,2단 적재와 1개씩 배출 구조 때문에 출구 용량과 로봇 작업공간이 제한될 수 있다.,"A3 이후 대기는 반출 우선순위, AMR/모바일 컨베이어 배정, 완제품 대기 적재부 여유와 직접 연결된다.","완제품/NG 분류, 협동로봇 이송, 2단 적재 대기, IN/OUT 컨베이어, 스토퍼 기반 1개씩 배출 구조"
2,A4,1.9110851726057647,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,다중 로봇과 틸팅/레이저/사상 작업이 한 CELL에 결합되어 처리시간 자체가 구조적으로 길 수 있다.,"제품 종류 혼합, 툴체인지, 버퍼 점유를 고려한 WIP cap과 투입 제어가 일부 효과를 낼 수 있다.","사상 제거, 레이저 마킹, 산업용 로봇, 협동로봇, 툴체인저, 틸팅 유닛, 3개 파렛트 버퍼가 결합된 복합 공정"
3,AMR_LD90,1.6827177362664112,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,,,
4,A7,1.5093761238763808,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,가공/압입은 실제 작업량과 설비 동작 시간이 병목의 주원인일 수 있다.,제품 종류별 EQ08/EQ09 분기와 A7 압입 순서를 따로 봐야 한다.,"드릴/TAP, 리벳/인서트 압입, 서보 프레스, 협동로봇, 버퍼 테이블이 포함된 가공/압입 구간"
5,A9_1,1.3840159638342142,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,검사/조립/체결이 묶인 후단 공정이라 작업공간과 버퍼 공간이 제한될 수 있다.,A9 자체보다 A8/A9 공급 균형과 A3 반출 가능 여부를 함께 봐야 한다.,"코어 검사, 비전 검사, 직교 이송, 툴체인저, 조립검사, 볼트 공급/체결, 팔레트 대기/버퍼 공간이 결합된 후단 검사/조립 공정"
6,A5,1.1538916822198901,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,핸들과 룸미러 작업 내용이 달라 동일 설비 평균만 보면 제품 믹스 영향이 섞일 수 있다.,제품군별 route 차이와 버퍼 점유를 분리해서 해석해야 한다.,"핸들 브로칭 가공과 룸미러 가조립, 산업용 로봇, 2SET 버퍼 테이블, 제품별 이송 유닛"
7,A9_2,1.0509444773767072,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,검사/조립/체결이 묶인 후단 공정이라 작업공간과 버퍼 공간이 제한될 수 있다.,A9 자체보다 A8/A9 공급 균형과 A3 반출 가능 여부를 함께 봐야 한다.,"코어 검사, 비전 검사, 직교 이송, 툴체인저, 조립검사, 볼트 공급/체결, 팔레트 대기/버퍼 공간이 결합된 후단 검사/조립 공정"
8,A6_TESLA,-0.03786891781801921,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,가공/압입은 실제 작업량과 설비 동작 시간이 병목의 주원인일 수 있다.,제품 종류별 EQ08/EQ09 분기와 A7 압입 순서를 따로 봐야 한다.,"드릴/TAP, 리벳/인서트 압입, 서보 프레스, 협동로봇, 버퍼 테이블이 포함된 가공/압입 구간"
9,A1,-0.08534114888710959,Partially Feasible,CONTROL_WIP,대기/WIP/점유 지표가 있어 투입 제한과 우선순위 조정으로 일부 완화 가능,,,
10,C2_FINISHED_STORAGE,-0.20014030839227098,Scheduling Feasible,PRIORITIZE_DISCHARGE,후단 반출/저장 흐름의 대기 비중이 커서 AMR/모바일 이송 및 배출 우선순위 조정 여지가 큼,완제품 버퍼와 적재 공간이 부족하면 A3 이후 반출이 구조적으로 막힌다.,"완제품 입고 지연은 제품별 적재 위치, 로봇 분류 작업, 후단 버퍼 여유와 연결된다.","완제품 창고(A11), 완제품 버퍼, 제품별 그립툴, 산업용 로봇 분류 적재, 룸미러/핸들 적재 공간"
